repository_owner,repository_name,file_url,candidate_instruction_count,final_not_to_do_count,final_not_to_do_pct_of_file,has_final_not_to_do,first_sentence_index,last_sentence_index
safety-research,safety-tooling,https://github.com/safety-research/safety-tooling/blob/main/CLAUDE.md,79,8,10.126582,1,1,53
saleor,apps,https://github.com/saleor/apps/blob/main/CLAUDE.md,75,3,4.000000,1,1,58
saleor,saleor,https://github.com/saleor/saleor/blob/main/CLAUDE.md,68,17,25.000000,1,1,62
Skyvern-AI,skyvern,https://github.com/Skyvern-AI/skyvern/blob/master/CLAUDE.md,60,1,1.666667,1,1,7
Southclaws,storyden,https://github.com/Southclaws/storyden/blob/main/CLAUDE.md,57,6,10.526316,1,1,12
speaches-ai,speaches,https://github.com/speaches-ai/speaches/blob/master/CLAUDE.md,18,9,50.000000,1,1,15
spylang,spy,https://github.com/spylang/spy/blob/main/CLAUDE.md,36,4,11.111111,1,4,1
steipete,Peekaboo,https://github.com/steipete/Peekaboo/blob/main/CLAUDE.md,33,6,18.181818,1,2,16
stepfunc,dnp3,https://github.com/stepfunc/dnp3/blob/main/CLAUDE.md,18,4,22.222222,1,2,11
stevehansen,csv,https://github.com/stevehansen/csv/blob/master/CLAUDE.md,67,0,0.000000,0,1,57
syntaxfm,website,https://github.com/syntaxfm/website/blob/main/CLAUDE.md,80,0,0.000000,0,1,34
tech-systems,panes,https://github.com/tech-systems/panes/blob/master/CLAUDE.md,44,0,0.000000,0,1,2
temporalio,ui,https://github.com/temporalio/ui/blob/main/CLAUDE.md,27,1,3.703704,1,1,27
theopenco,llmgateway,https://github.com/theopenco/llmgateway/blob/main/CLAUDE.md,156,21,13.461538,1,1,16
thirdweb-dev,js,https://github.com/thirdweb-dev/js/blob/main/CLAUDE.md,134,10,7.462687,1,1,96
tokens-studio,figma-plugin,https://github.com/tokens-studio/figma-plugin/blob/main/CLAUDE.md,79,0,0.000000,0,1,19
toshimaru,nyan,https://github.com/toshimaru/nyan/blob/main/CLAUDE.md,27,0,0.000000,0,1,27
tphakala,birdnet-go,https://github.com/tphakala/birdnet-go/blob/main/CLAUDE.md,66,8,12.121212,1,1,26
traceloop,openllmetry,https://github.com/traceloop/openllmetry/blob/main/CLAUDE.md,18,2,11.111111,1,1,8
transloadit,uppy,https://github.com/transloadit/uppy/blob/main/CLAUDE.md,74,2,2.702703,1,1,13
truenas,webui,https://github.com/truenas/webui/blob/master/CLAUDE.md,99,14,14.141414,1,1,74
twentyhq,twenty,https://github.com/twentyhq/twenty/blob/main/CLAUDE.md,87,12,13.793103,1,1,60
vaadin,flow,https://github.com/vaadin/flow/blob/main/CLAUDE.md,114,9,7.894737,1,1,88
Veloera,Veloera,https://github.com/Veloera/Veloera/blob/main/CLAUDE.md,12,0,0.000000,0,1,12
vinceglb,FileKit,https://github.com/vinceglb/FileKit/blob/main/CLAUDE.md,23,0,0.000000,0,1,23
Vocab-Apps,anki-hyper-tts,https://github.com/Vocab-Apps/anki-hyper-tts/blob/main/CLAUDE.md,35,0,0.000000,0,1,21
wangkanai,wangkanai,https://github.com/wangkanai/wangkanai/blob/main/CLAUDE.md,3,0,0.000000,0,1,3
wolfi-dev,os,https://github.com/wolfi-dev/os/blob/main/CLAUDE.md,97,12,12.371134,1,1,91
wvlet,airframe,https://github.com/wvlet/airframe/blob/main/CLAUDE.md,73,4,5.479452,1,1,40
wvlet,wvlet,https://github.com/wvlet/wvlet/blob/main/CLAUDE.md,127,9,7.086614,1,1,94
xlnfinance,xln,https://github.com/xlnfinance/xln/blob/main/CLAUDE.md,119,26,21.848739,1,1,13
yamadashy,repomix,https://github.com/yamadashy/repomix/blob/main/CLAUDE.md,27,1,3.703704,1,1,26
